source_code,source_concept_id,source_vocabulary_id,source_code_description,target_concept_id,target_vocabulary_id,valid_start_date,valid_end_date,invalid_reason
ml/min/1.73m(2),0,AURUM_UNITS,ml/min/1.73m(2),9117,UCUM,1970-01-01,2099-12-31,
/70,0,AURUM_UNITS,/70,0,None,1970-01-01,2099-12-31,
mm/Hg,0,AURUM_UNITS,mm/Hg,8876,UCUM,1970-01-01,2099-12-31,
AUDIT-C Score,0,AURUM_UNITS,AUDIT-C Score,0,None,1970-01-01,2099-12-31,
mcg/100ml,0,AURUM_UNITS,mcg/100ml,0,None,1970-01-01,2099-12-31,
l/minute,0,AURUM_UNITS,l/minute,8698,UCUM,1970-01-01,2099-12-31,
/10,0,AURUM_UNITS,/10,0,None,1970-01-01,2099-12-31,
/8,0,AURUM_UNITS,/8,0,None,1970-01-01,2099-12-31,
Undefined,0,AURUM_UNITS,Undefined,0,None,1970-01-01,2099-12-31,
mm[Hg],0,AURUM_UNITS,mm[Hg],9548,UCUM,1970-01-01,2099-12-31,
bpm,0,AURUM_UNITS,bpm,0,None,1970-01-01,2099-12-31,
Liters,0,AURUM_UNITS,Liters,8519,UCUM,1970-01-01,2099-12-31,
mg/100 ml,0,AURUM_UNITS,mg/100 ml,0,None,1970-01-01,2099-12-31,
[iU]/L,0,AURUM_UNITS,[iU]/L,0,None,1970-01-01,2099-12-31,
/100,0,AURUM_UNITS,/100,0,None,1970-01-01,2099-12-31,
lites,0,AURUM_UNITS,lites,8519,UCUM,1970-01-01,2099-12-31,
/27,0,AURUM_UNITS,/27,0,None,1970-01-01,2099-12-31,
ppm,0,AURUM_UNITS,ppm,9387,UCUM,1970-01-01,2099-12-31,
iu/L,0,AURUM_UNITS,iu/L,8645,UCUM,1970-01-01,2099-12-31,
breaths per min,0,AURUM_UNITS,breaths per min,0,None,1970-01-01,2099-12-31,
[iU]/mL,0,AURUM_UNITS,[iU]/mL,0,None,1970-01-01,2099-12-31,
Out of 40,0,AURUM_UNITS,Out of 40,0,None,1970-01-01,2099-12-31,
litre,0,AURUM_UNITS,litre,8519,UCUM,1970-01-01,2099-12-31,
/12,0,AURUM_UNITS,/12,0,None,1970-01-01,2099-12-31,
ppmCO,0,AURUM_UNITS,ppmCO,0,None,1970-01-01,2099-12-31,
pack-years,0,AURUM_UNITS,pack-years,0,None,1970-01-01,2099-12-31,
/28,0,AURUM_UNITS,/28,0,None,1970-01-01,2099-12-31,
iu/ml,0,AURUM_UNITS,iu/ml,0,None,1970-01-01,2099-12-31,
{beats}/min,0,AURUM_UNITS,{beats}/min,0,None,1970-01-01,2099-12-31,
breaths/min,0,AURUM_UNITS,breaths/min,0,None,1970-01-01,2099-12-31,
Litres,0,AURUM_UNITS,Litres,8519,UCUM,1970-01-01,2099-12-31,
rad,0,AURUM_UNITS,rad,9636,UCUM,1970-01-01,2099-12-31,
pack years,0,AURUM_UNITS,pack years,0,None,1970-01-01,2099-12-31,
/12 (5+ signficant),0,AURUM_UNITS,/12 (5+ signficant),0,None,1970-01-01,2099-12-31,
/29,0,AURUM_UNITS,/29,0,None,1970-01-01,2099-12-31,
kg,0,AURUM_UNITS,kg,0,None,1970-01-01,2099-12-31,
C,0,AURUM_UNITS,C,586323,UCUM,1970-01-01,2099-12-31,
{breaths}/min,0,AURUM_UNITS,{breaths}/min,0,None,1970-01-01,2099-12-31,
litres per min,0,AURUM_UNITS,litres per min,8698,UCUM,1970-01-01,2099-12-31,
pack yrs,0,AURUM_UNITS,pack yrs,0,None,1970-01-01,2099-12-31,
ratio,0,AURUM_UNITS,ratio,8523,UCUM,1970-01-01,2099-12-31,
Cel,0,AURUM_UNITS,Cel,586323,UCUM,1970-01-01,2099-12-31,
/14,0,AURUM_UNITS,/14,0,None,1970-01-01,2099-12-31,
