source_code	source_concept_id	source_vocabulary_id	source_code_description	target_concept_id	target_vocabulary_id	valid_start_date	valid_end_date	invalid_reason
10*-6.[U]/L	0	JNJ_UNITS	10*-6.[U]/L	8750	UCUM	2023-01-20	2099-12-31	
10*-6.[U]/L{TSH}	0	JNJ_UNITS	10*-6.[U]/L{TSH}	9163	UCUM	2023-01-20	2099-12-31	
10*-6.[U]/mL	0	JNJ_UNITS	10*-6.[U]/mL	8860	UCUM	2023-01-20	2099-12-31	
10*6.[U]/mL	0	JNJ_UNITS	10*6.[U]/mL	45890995	UCUM	2023-01-20	2099-12-31	
10*-6.[U]/{spec}	0	JNJ_UNITS	10*-6.[U]/{spec}	44777584	UCUM	2023-01-20	2099-12-31	
10*7	0	JNJ_UNITS	10*7	710259	UCUM	2023-01-20	2099-12-31	
10*8	0	JNJ_UNITS	100 Million	0	None	1970-01-01	2023-01-20	D
10*8	0	JNJ_UNITS	100 Million	9443	UCUM	2023-01-20	2099-12-31	
/10*9	0	JNJ_UNITS	/10*9	9242	UCUM	2023-01-20	2099-12-31	
10^9	0	JNJ_UNITS	10^9	44777660	UCUM	2023-01-20	2099-12-31	
10*9	0	JNJ_UNITS	Billion	44777660	UCUM	1970-01-01	2099-12-31	
10*9.{cellls}/L	0	JNJ_UNITS	10*9.{cellls}/L	44777588	UCUM	2023-01-20	2099-12-31	
10*9 cells/L	0	JNJ_UNITS	10*9 cells/L	44777588	UCUM	2023-01-20	2099-12-31	
10*9.{copies}/L	0	JNJ_UNITS	10*9.{copies}/L	44777589	UCUM	2023-01-20	2099-12-31	
*10^9/cumm	0	JNJ_UNITS	*10^9/cumm	9446	UCUM	2023-01-20	2099-12-31	
109l	0	JNJ_UNITS	109l	9444	UCUM	2023-01-20	2099-12-31	
*10^9/l	0	JNJ_UNITS	*10^9/l	9444	UCUM	2023-01-20	2099-12-31	
*10 9/l	0	JNJ_UNITS	*10 9/l	9444	UCUM	2023-01-20	2099-12-31	
10^9/l	0	JNJ_UNITS	10^9/l	9444	UCUM	2023-01-20	2099-12-31	
10/9 l	0	JNJ_UNITS	10/9 l	9444	UCUM	2023-01-20	2099-12-31	
10/9/l	0	JNJ_UNITS	10/9/l	9444	UCUM	2023-01-20	2099-12-31	
10 ^9/L	0	JNJ_UNITS	10 ^9/L	9444	UCUM	2023-01-20	2099-12-31	
10 9/L	0	JNJ_UNITS	10 9/L	9444	UCUM	2023-01-20	2099-12-31	
10/9L	0	JNJ_UNITS	10/9L	9444	UCUM	2023-01-20	2099-12-31	
10(9)/L	0	JNJ_UNITS	10(9)/L	9444	UCUM	2023-01-20	2099-12-31	
10**9/L	0	JNJ_UNITS	10**9/L	9444	UCUM	2023-01-20	2099-12-31	
10*9/L	0	JNJ_UNITS	Billion per Liter	9444	UCUM	1970-01-01	2099-12-31	
10*9/mL	0	JNJ_UNITS	Billion per Milliliter	9445	UCUM	1970-01-01	2099-12-31	
10*9/uL	0	JNJ_UNITS	Billion per Microliter	9446	UCUM	1970-01-01	2099-12-31	
10e12/l	0	JNJ_UNITS	10e12/l	8734	UCUM	2023-01-20	2099-12-31	
10e3uL	0	JNJ_UNITS	10e3uL	8848	UCUM	2023-01-20	2099-12-31	
10e3/uL	0	JNJ_UNITS	10e3/uL	8848	UCUM	2023-01-20	2099-12-31	
10E3/uL	0	JNJ_UNITS	10E3/uL	8848	UCUM	2023-01-20	2099-12-31	
10e6/uL	0	JNJ_UNITS	10e6/uL	8815	UCUM	1970-01-01	2099-12-31	
10e9/l	0	JNJ_UNITS	10e9/l	9444	UCUM	2023-01-20	2099-12-31	
10n3 ul	0	JNJ_UNITS	10n3 ul	8848	UCUM	1970-01-01	2099-12-31	
10x3/uL	0	JNJ_UNITS	10x3/uL	8848	UCUM	2023-01-20	2099-12-31	
/12	0	JNJ_UNITS	/12	44777566	UCUM	2023-01-20	2099-12-31	
1/2Day	0	JNJ_UNITS	1/2 Day	0	None	1970-01-01	2099-12-31	
/16	0	JNJ_UNITS	/16	44777566	UCUM	2023-01-20	2099-12-31	
/16 (>2 signfic)	0	JNJ_UNITS	/16 (>2 signfic)	44777566	UCUM	2023-01-20	2099-12-31	
/17	0	JNJ_UNITS	/17	44777566	UCUM	2023-01-20	2099-12-31	
/1.73m2	0	JNJ_UNITS	/1.73m2	720870	UCUM	2023-01-20	2099-12-31	
/1.73 m2	0	JNJ_UNITS	/1.73 m2	9117	UCUM	1970-01-01	2023-01-20	D
/1.73 m2	0	JNJ_UNITS	/1.73 m2	720870	UCUM	2023-01-20	2099-12-31	
18.5-24.9	0	JNJ_UNITS	18.5-24.9	9531	UCUM	2023-01-20	2099-12-31	
1.9	0	JNJ_UNITS	1.9	0	None	1970-01-01	2099-12-31	
-1e+12	0	JNJ_UNITS	-1e+12	0	None	1970-01-01	2099-12-31	
1/min	0	JNJ_UNITS	1/min	8698	UCUM	2023-01-20	2099-12-31	
1/minute	0	JNJ_UNITS	1/minute	8698	UCUM	2023-01-20	2099-12-31	
/20	0	JNJ_UNITS	/20	44777566	UCUM	2023-01-20	2099-12-31	
